date,keyword,level_last,mean_w,slope_w,z_last,lift_vs_mean_w,lift_vs_ref,momentum_1,momentum_7,coefvar_w,days_since_peak,peak,peak_gini,burstiness,trend_strength,seasonality_strength,lift_vs_cohort_med,corr_with_cohort_med,future_mean_7d,future_max_7d,future_sum_7d,growth_label_metric,target
2022-02-13,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-02-20,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-02-27,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-03-06,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-03-13,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-03-20,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-03-27,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-04-03,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-04-10,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-04-17,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-04-24,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-05-01,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-05-08,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
